label,pix1,pix2
0,['115' '114' '116' '116' '117' '115' '115' '119' '116' '116'],['123' '123' '121' '123' '122' '123' '120' '123' '123' '123']
0,['114' '116' '116' '117' '115' '115' '119' '116' '116' '117'],['123' '121' '123' '122' '123' '120' '123' '123' '123' '123']
0,['116' '116' '117' '115' '115' '119' '116' '116' '117' '115'],['121' '123' '122' '123' '120' '123' '123' '123' '123' '124']
0,['116' '117' '115' '115' '119' '116' '116' '117' '115' '114'],['123' '122' '123' '120' '123' '123' '123' '123' '124' '123']
0,['117' '115' '115' '119' '116' '116' '117' '115' '114' '116'],['122' '123' '120' '123' '123' '123' '123' '124' '123' '122']
0,['115' '115' '119' '116' '116' '117' '115' '114' '116' '116'],['123' '120' '123' '123' '123' '123' '124' '123' '122' '123']
0,['115' '119' '116' '116' '117' '115' '114' '116' '116' '115'],['120' '123' '123' '123' '123' '124' '123' '122' '123' '123']
0,['119' '116' '116' '117' '115' '114' '116' '116' '115' '116'],['123' '123' '123' '123' '124' '123' '122' '123' '123' '123']
0,['116' '116' '117' '115' '114' '116' '116' '115' '116' '117'],['123' '123' '123' '124' '123' '122' '123' '123' '123' '123']
0,['116' '117' '115' '114' '116' '116' '115' '116' '117' '117'],['123' '123' '124' '123' '122' '123' '123' '123' '123' '122']
0,['117' '115' '114' '116' '116' '115' '116' '117' '117' '115'],['123' '124' '123' '122' '123' '123' '123' '123' '122' '124']
0,['115' '114' '116' '116' '115' '116' '117' '117' '115' '116'],['124' '123' '122' '123' '123' '123' '123' '122' '124' '121']
0,['114' '116' '116' '115' '116' '117' '117' '115' '116' '117'],['123' '122' '123' '123' '123' '123' '122' '124' '121' '123']
0,['116' '116' '115' '116' '117' '117' '115' '116' '117' '116'],['122' '123' '123' '123' '123' '122' '124' '121' '123' '123']
0,['116' '115' '116' '117' '117' '115' '116' '117' '116' '116'],['123' '123' '123' '123' '122' '124' '121' '123' '123' '123']
0,['115' '116' '117' '117' '115' '116' '117' '116' '116' '118'],['123' '123' '123' '122' '124' '121' '123' '123' '123' '123']
0,['116' '117' '117' '115' '116' '117' '116' '116' '118' '115'],['123' '123' '122' '124' '121' '123' '123' '123' '123' '121']
0,['117' '117' '115' '116' '117' '116' '116' '118' '115' '117'],['123' '122' '124' '121' '123' '123' '123' '123' '121' '124']
0,['117' '115' '116' '117' '116' '116' '118' '115' '117' '117'],['122' '124' '121' '123' '123' '123' '123' '121' '124' '123']
0,['115' '116' '117' '116' '116' '118' '115' '117' '117' '114'],['124' '121' '123' '123' '123' '123' '121' '124' '123' '122']
0,['116' '117' '116' '116' '118' '115' '117' '117' '114' '117'],['121' '123' '123' '123' '123' '121' '124' '123' '122' '122']
0,['117' '116' '116' '118' '115' '117' '117' '114' '117' '116'],['123' '123' '123' '123' '121' '124' '123' '122' '122' '122']
0,['116' '116' '118' '115' '117' '117' '114' '117' '116' '114'],['123' '123' '123' '121' '124' '123' '122' '122' '122' '124']
0,['116' '118' '115' '117' '117' '114' '117' '116' '114' '116'],['123' '123' '121' '124' '123' '122' '122' '122' '124' '123']
0,['118' '115' '117' '117' '114' '117' '116' '114' '116' '117'],['123' '121' '124' '123' '122' '122' '122' '124' '123' '123']
0,['115' '117' '117' '114' '117' '116' '114' '116' '117' '116'],['121' '124' '123' '122' '122' '122' '124' '123' '123' '123']
0,['117' '117' '114' '117' '116' '114' '116' '117' '116' '116'],['124' '123' '122' '122' '122' '124' '123' '123' '123' '121']
0,['117' '114' '117' '116' '114' '116' '117' '116' '116' '117'],['123' '122' '122' '122' '124' '123' '123' '123' '121' '123']
0,['114' '117' '116' '114' '116' '117' '116' '116' '117' '116'],['122' '122' '122' '124' '123' '123' '123' '121' '123' '122']
0,['117' '116' '114' '116' '117' '116' '116' '117' '116' '117'],['122' '122' '124' '123' '123' '123' '121' '123' '122' '123']
0,['116' '114' '116' '117' '116' '116' '117' '116' '117' '115'],['122' '124' '123' '123' '123' '121' '123' '122' '123' '123']
0,['114' '116' '117' '116' '116' '117' '116' '117' '115' '116'],['124' '123' '123' '123' '121' '123' '122' '123' '123' '123']
0,['116' '117' '116' '116' '117' '116' '117' '115' '116' '115'],['123' '123' '123' '121' '123' '122' '123' '123' '123' '123']
0,['117' '116' '116' '117' '116' '117' '115' '116' '115' '117'],['123' '123' '121' '123' '122' '123' '123' '123' '123' '123']
0,['116' '116' '117' '116' '117' '115' '116' '115' '117' '116'],['123' '121' '123' '122' '123' '123' '123' '123' '123' '123']
0,['116' '117' '116' '117' '115' '116' '115' '117' '116' '114'],['121' '123' '122' '123' '123' '123' '123' '123' '123' '122']
0,['117' '116' '117' '115' '116' '115' '117' '116' '114' '116'],['123' '122' '123' '123' '123' '123' '123' '123' '122' '123']
0,['116' '117' '115' '116' '115' '117' '116' '114' '116' '116'],['122' '123' '123' '123' '123' '123' '123' '122' '123' '122']
0,['117' '115' '116' '115' '117' '116' '114' '116' '116' '115'],['123' '123' '123' '123' '123' '123' '122' '123' '122' '123']
0,['115' '116' '115' '117' '116' '114' '116' '116' '115' '116'],['123' '123' '123' '123' '123' '122' '123' '122' '123' '121']
0,['116' '115' '117' '116' '114' '116' '116' '115' '116' '116'],['123' '123' '123' '123' '122' '123' '122' '123' '121' '123']
0,['115' '117' '116' '114' '116' '116' '115' '116' '116' '116'],['123' '123' '123' '122' '123' '122' '123' '121' '123' '123']
0,['117' '116' '114' '116' '116' '115' '116' '116' '116' '115'],['123' '123' '122' '123' '122' '123' '121' '123' '123' '123']
0,['116' '114' '116' '116' '115' '116' '116' '116' '115' '115'],['123' '122' '123' '122' '123' '121' '123' '123' '123' '123']
0,['114' '116' '116' '115' '116' '116' '116' '115' '115' '116'],['122' '123' '122' '123' '121' '123' '123' '123' '123' '123']
0,['116' '116' '115' '116' '116' '116' '115' '115' '116' '116'],['123' '122' '123' '121' '123' '123' '123' '123' '123' '122']
0,['116' '115' '116' '116' '116' '115' '115' '116' '116' '116'],['122' '123' '121' '123' '123' '123' '123' '123' '122' '122']
0,['115' '116' '116' '116' '115' '115' '116' '116' '116' '115'],['123' '121' '123' '123' '123' '123' '123' '122' '122' '122']
0,['116' '116' '116' '115' '115' '116' '116' '116' '115' '116'],['121' '123' '123' '123' '123' '123' '122' '122' '122' '123']
0,['116' '116' '115' '115' '116' '116' '116' '115' '116' '116'],['123' '123' '123' '123' '123' '122' '122' '122' '123' '124']
0,['116' '115' '115' '116' '116' '116' '115' '116' '116' '118'],['123' '123' '123' '123' '122' '122' '122' '123' '124' '121']
0,['115' '115' '116' '116' '116' '115' '116' '116' '118' '116'],['123' '123' '123' '122' '122' '122' '123' '124' '121' '122']
0,['115' '116' '116' '116' '115' '116' '116' '118' '116' '116'],['123' '123' '122' '122' '122' '123' '124' '121' '122' '124']
0,['116' '116' '116' '115' '116' '116' '118' '116' '116' '114'],['123' '122' '122' '122' '123' '124' '121' '122' '124' '123']
0,['116' '116' '115' '116' '116' '118' '116' '116' '114' '116'],['122' '122' '122' '123' '124' '121' '122' '124' '123' '123']
0,['116' '115' '116' '116' '118' '116' '116' '114' '116' '115'],['122' '122' '123' '124' '121' '122' '124' '123' '123' '122']
0,['115' '116' '116' '118' '116' '116' '114' '116' '115' '116'],['122' '123' '124' '121' '122' '124' '123' '123' '122' '123']
0,['116' '116' '118' '116' '116' '114' '116' '115' '116' '114'],['123' '124' '121' '122' '124' '123' '123' '122' '123' '123']
